23:05:36.697 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking with date filters **************
23:05:36.843 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking with date filters **************
23:05:37.002 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Updating non existing booking **************
23:05:37.143 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished updating non existing booking **************
23:05:37.146 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Updating booking **************
23:05:37.456 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Booking is updated **************
23:05:37.459 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Updating booking with invalid data **************
23:05:37.814 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished updating booking with invalid data **************
23:05:37.819 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Partially updating booking **************
23:05:38.118 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Booking is updated **************
23:05:38.122 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Partially updating non existing booking **************
23:05:38.264 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished partially updating non existing booking **************
23:05:38.267 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Deleting booking **************
23:05:38.548 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Booking is deleted **************
23:05:38.551 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Partially updating booking with invalid data **************
23:05:38.887 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished partially updating booking with invalid data **************
23:05:38.891 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Deleting non existing booking **************
23:05:39.032 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished deleting non existing booking **************
00:12:03.597 [main] INFO  Assessment.API.e2e.TokenTest - ************** Creating Token **************
00:12:04.250 [main] INFO  Assessment.API.e2e.TokenTest - ************** Token is created **************
00:13:16.187 [main] INFO  Assessment.API.e2e.TokenTest - ************** Creating Token **************
00:13:16.812 [main] INFO  Assessment.API.e2e.TokenTest - ************** Token is created **************
00:13:16.962 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Creating Booking **************
00:13:17.356 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Booking is created **************
00:13:17.509 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Creating Booking with missing fields **************
00:13:17.666 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished creating booking with missing fields **************
00:13:17.672 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Creating booking with invalid fields **************
00:13:17.818 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished creating booking with invalid fields **************
00:13:17.823 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking **************
00:13:17.965 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Booking is displayed **************
00:13:17.968 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting all bookings **************
00:13:18.161 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** All bookings are displayed **************
00:13:18.162 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Getting booking with invalid id **************
00:13:18.305 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished getting booking with invalid id **************
00:13:18.309 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Getting booking ids with invalid date filter **************
00:13:18.460 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished getting booking ids with invalid date filter **************
00:13:18.465 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking with name filters **************
00:13:18.633 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Bookings with name filters are displayed **************
00:13:18.634 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking with date filters **************
00:13:18.784 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking with date filters **************
00:13:18.933 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking with date filters **************
00:13:19.092 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking with date filters **************
00:13:19.231 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Updating non existing booking **************
00:13:19.516 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished updating non existing booking **************
00:13:19.520 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Updating booking **************
00:13:19.812 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Booking is updated **************
00:13:19.815 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Updating booking with invalid data **************
00:13:20.131 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished updating booking with invalid data **************
00:13:20.134 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Partially updating booking **************
00:13:20.440 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Booking is updated **************
00:13:20.442 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Partially updating non existing booking **************
00:13:20.588 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished partially updating non existing booking **************
00:13:20.592 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Deleting booking **************
00:13:20.865 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Booking is deleted **************
00:13:20.867 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Partially updating booking with invalid data **************
00:13:21.174 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished partially updating booking with invalid data **************
00:13:21.177 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Deleting non existing booking **************
00:13:21.329 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished deleting non existing booking **************
00:26:57.279 [main] INFO  Assessment.API.e2e.TokenTest - ************** Creating Token **************
00:26:57.901 [main] INFO  Assessment.API.e2e.TokenTest - ************** Token is created **************
00:27:49.094 [main] INFO  Assessment.API.e2e.TokenTest - ************** Creating Token **************
00:27:49.688 [main] INFO  Assessment.API.e2e.TokenTest - ************** Token is created **************
00:27:49.697 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Creating Booking **************
00:27:50.049 [main] INFO  Assessment.API.e2e.BookingPositiveTests - ************** Booking is created **************
00:27:50.053 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Creating Booking with missing fields **************
00:27:50.193 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Finished creating booking with missing fields **************
00:27:50.195 [main] INFO  Assessment.API.e2e.BookingNegativeTests - ************** Creating booking with invalid fields **************
